text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
#election2016 @ Arabi Elementary https://t.co/R3k5op6p2t,11/8/2016 21:32,26.01548,-80.42285,"Place(name='Pembroke Pines', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5727d936119423c0.json', full_name='Pembroke Pines, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.442683, 25.992486], [-80.2133136, 25.992486], [-80.2133136, 26.0632929], [-80.442683, 26.0632929]]], type='Polygon'), contained_within=[], id='5727d936119423c0')","{'coordinates': [-80.42285, 26.01548], 'type': 'Point'}","Pembroke Pines, FL",0.108836579,negative,Anger,Election
"#Election2016 cookie stop! (at @BuskenBakery in Cincinnati, OH) https://t.co/WX9XFBXtAG",11/8/2016 17:02,34.07888361,-118.4746091,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.47460906, 34.07888361], 'type': 'Point'}","Los Angeles, California",0.108836579,negative,Anger,Election
#Election2016 🇺🇸 @ Old Fourth Ward https://t.co/CFiMBqsX9y,11/8/2016 17:01,32.71823618,-117.1563398,"Place(name='San Diego', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', full_name='San Diego, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]], type='Polygon'), contained_within=[], id='a592bd6ceb1319f7')","{'coordinates': [-117.15633975, 32.71823618], 'type': 'Point'}","San Diego, CA",0.108836579,negative,Anger,Election
#election2016 people at the polls 6am! @ The Baird Center https://t.co/fDZ442EcLS,11/8/2016 17:00,34.08438,-118.34568,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.34568, 34.08438], 'type': 'Point'}","LAX/BUR, but often MCO or PIT",0.108836579,negative,Anger,Election
"#election2016
#vote2016
#useyourpen @ Simply Mascara Plus https://t.co/sz1S6pOcHL",11/8/2016 17:04,39.01914122,-76.76012723,"Place(name='Bowie', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/369842624da7239c.json', full_name='Bowie, MD', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-76.800034, 38.8898003], [-76.693243, 38.8898003], [-76.693243, 39.037765], [-76.800034, 39.037765]]], type='Polygon'), contained_within=[], id='369842624da7239c')","{'coordinates': [-76.76012723, 39.01914122], 'type': 'Point'}",Maryland,1,neutral,Anger,Election
#electionday #makeamericagreatagain #imwithher #Republican #democrat… https://t.co/KkMFDalEjY,11/8/2016 16:57,38.4594,-90.0943,"Place(name='Millstadt', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/00a56a8d6eacde1f.json', full_name='Millstadt, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-90.108729, 38.425523], [-90.0730849, 38.425523], [-90.0730849, 38.4691], [-90.108729, 38.4691]]], type='Polygon'), contained_within=[], id='00a56a8d6eacde1f')","{'coordinates': [-90.0943, 38.4594], 'type': 'Point'}",NYC,2.315120175,positive,Anger,Hillary
#electionday #makeamericagreatagain #imwithher #Republican #democrat… https://t.co/VQbmPFSwKG,11/8/2016 16:57,34.11152704,-118.3043315,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.30433152, 34.11152704], 'type': 'Point'}",Los Angeles,2.315120175,positive,Anger,Hillary
#gop #republican #dem #democrat everywhere. No matter who wins the #election2016 let's work… https://t.co/INP4dP8LpT,11/8/2016 16:55,34.16131478,-118.4699817,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.46998165, 34.16131478], 'type': 'Point'}",Los Angeles,0.926848254,negative,Anger,Election
#Hillary #Democrat #Trump #Republican https://t.co/DE6Dvne5mn,11/8/2016 16:53,33.302,-86.84694,"Place(name='Alabama', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/288de3df481163e8.json', full_name='Alabama, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]], type='Polygon'), contained_within=[], id='288de3df481163e8')","{'coordinates': [-86.84694, 33.302], 'type': 'Point'}","Bessemer, AL",38.67188361,positive,Anger,Hillary
#hillary Is not fit to represent me in the white house #VoteTrump  #neverher #Election2016,11/8/2016 16:53,34.00472,-118.43,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.43, 34.00472], 'type': 'Point'}","Los Angeles, CA",1.818011675,neutral,Anger,Hillary
"#ivoted I recommend you do the same. #election2016 @ Boston, Massachusetts https://t.co/1nrpcYxYiI",11/8/2016 16:42,34.15776,-118.45694,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.45694, 34.15776], 'type': 'Point'}","Los Angeles, CA",1,neutral,Anger,Election
#nopolitical #democrat #republican #trump #hillaryclinton… https://t.co/SgwFAZFaFz,11/8/2016 16:33,36.1313,-95.9373,"Place(name='Tulsa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/cb74aaf709812e0f.json', full_name='Tulsa, OK', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-96.0656278, 35.968624], [-95.761656, 35.968624], [-95.761656, 36.250159], [-96.0656278, 36.250159]]], type='Polygon'), contained_within=[], id='cb74aaf709812e0f')","{'coordinates': [-95.9373, 36.1313], 'type': 'Point'}",United States,38.67188361,positive,Anger,Hillary
#SeeYouAtThePoll #election2016 #prayfirst @ Moody Civic Center https://t.co/tjzhG1awd0,11/8/2016 16:31,32.91130917,-117.1051614,"Place(name='San Diego', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', full_name='San Diego, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]], type='Polygon'), contained_within=[], id='a592bd6ceb1319f7')","{'coordinates': [-117.10516144, 32.91130917], 'type': 'Point'}","San Diego, California",0.055728215,negative,Anger,Election
#Time is running out; make your #vote count! #election2016  #electionnight @ Employee Time Clocks https://t.co/xoUw8TRtyf,11/8/2016 16:30,30.53773851,-97.68238559,"Place(name='Round Rock', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/00c44eeb126d2fcd.json', full_name='Round Rock, TX', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-97.755394, 30.4684424], [-97.59007, 30.4684424], [-97.59007, 30.5702392], [-97.755394, 30.5702392]]], type='Polygon'), contained_within=[], id='00c44eeb126d2fcd')","{'coordinates': [-97.68238559, 30.53773851], 'type': 'Point'}",Down the road,0.108836579,negative,Anger,Election
#vote #election2016 #nyc @ Rockafeller Centre https://t.co/hSpKP3VjPr,11/8/2016 16:27,34.15776,-118.45694,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.45694, 34.15776], 'type': 'Point'}","Los Angeles, CA",0.108836579,negative,Anger,Election
#vote #election2016 #usa🇺🇸 #miami #southflorida @ Government Center Metrorail Station https://t.co/ew6a7l8aqW,11/8/2016 16:26,40.75483,-73.98971,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-73.98971, 40.75483], 'type': 'Point'}",NYC,0.108836579,negative,Anger,Election
#vote #election2016 @ Andersonville https://t.co/mXl2fi2rZV,11/8/2016 16:28,34.014906,-118.4602862,"Place(name='Santa Monica', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/59612bd882018c51.json', full_name='Santa Monica, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.5173575, 33.9951771], [-118.443482, 33.9951771], [-118.443482, 34.050199], [-118.5173575, 34.050199]]], type='Polygon'), contained_within=[], id='59612bd882018c51')","{'coordinates': [-118.4602862, 34.014906], 'type': 'Point'}",,0.108836579,negative,Anger,Election
"#vote #ivoted #govote #election2016 🇺🇸 
#santacruz #california @ Pleasure Point, California https://t.co/7K7AOOCLkh",11/8/2016 16:25,44.02095804,-91.10191827,"Place(name='Wisconsin', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json', full_name='Wisconsin, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]], type='Polygon'), contained_within=[], id='7dc5c6d3bfb10ccc')","{'coordinates': [-91.10191827, 44.02095804], 'type': 'Point'}","Holmen, Wisconsin",1,neutral,Anger,Election
#vote2016 #election2016🇺🇸 @ Tehillah Ministries https://t.co/JyDOJm7nU6,11/8/2016 16:22,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}","New York, NY",2.315120175,positive,Anger,Election
#voted #imwithher #election2016 @ Shenandoah Street Elementary https://t.co/lQuZsZLu7H,11/8/2016 16:20,40.67777778,-73.96944444,"Place(name='Brooklyn', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', full_name='Brooklyn, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]], type='Polygon'), contained_within=[], id='011add077f4d2da3')","{'coordinates': [-73.96944444, 40.67777778], 'type': 'Point'}","Brooklyn, NY",0.108836579,negative,Anger,Hillary
"#yiasou #america!  It's #election2016, make sure you vote and then stop by #bigblue for some… https://t.co/G1jOoAt0n6",11/8/2016 16:15,37.78498,-122.42147,"Place(name='San Francisco', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', full_name='San Francisco, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]], type='Polygon'), contained_within=[], id='5a110d312052166f')","{'coordinates': [-122.42147, 37.78498], 'type': 'Point'}","SF, CA",1,neutral,Anger,Election
@anthonymobile but if Congress is all R?,11/9/2016 4:21,28.09575941,-82.38615339,"Place(name='Tampa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/dc62519fda13b4ec.json', full_name='Tampa, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]], type='Polygon'), contained_within=[], id='dc62519fda13b4ec')","{'coordinates': [-82.38615339, 28.09575941], 'type': 'Point'}",,2.315120175,positive,Anger,Election
@mitrebox Democrat machine. Old machines. From the 80s.,11/9/2016 3:03,41.04911274,-80.66270855,"Place(name='Boardman', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/f33f520be81a525c.json', full_name='Boardman, OH', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.71159, 40.970454], [-80.603596, 40.970454], [-80.603596, 41.061426], [-80.71159, 41.061426]]], type='Polygon'), contained_within=[], id='f33f520be81a525c')","{'coordinates': [-80.66270855, 41.04911274], 'type': 'Point'}",,19.71547723,positive,Anger,Hillary
@serialkarma @riverlight82 ...with no actual effect. Can't move congress...,11/9/2016 2:48,34.3786314,-118.5457433,"Place(name='Santa Clarita', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/f9c0877820b7848a.json', full_name='Santa Clarita, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.6278742, 34.3474831], [-118.3786434, 34.3474831], [-118.3786434, 34.483779], [-118.6278742, 34.483779]]], type='Polygon'), contained_within=[], id='f9c0877820b7848a')","{'coordinates': [-118.54574328, 34.3786314], 'type': 'Point'}","Santa Clarita, CA",2.315120175,positive,Anger,Election
@TiffanyATrump @realDonaldTrump @IvankaTrump @KellyannePolls My vote for Democrat DOES MATTER. https://t.co/EeKXo3WhXk,11/9/2016 2:28,43.04088,-76.13411,"Place(name='Syracuse', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/138181506c13418e.json', full_name='Syracuse, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-76.204476, 42.984026], [-76.053145, 42.984026], [-76.053145, 43.121188], [-76.204476, 43.121188]]], type='Polygon'), contained_within=[], id='138181506c13418e')","{'coordinates': [-76.13411, 43.04088], 'type': 'Point'}","Syracuse, New York",19.71547723,positive,Anger,Trump
@zacbir how about the people who just plain switched from democrat to republican because they don’t like Clinton. Hi my in-laws!,11/9/2016 2:27,35.466592,-97.510825,"Place(name='Oklahoma City', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/9531d4e3bbafc09d.json', full_name='Oklahoma City, OK', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-97.768683, 35.290722], [-97.335639, 35.290722], [-97.335639, 35.674965], [-97.768683, 35.674965]]], type='Polygon'), contained_within=[], id='9531d4e3bbafc09d')","{'coordinates': [-97.510825, 35.466592], 'type': 'Point'}","Oklahoma City, OK",75.02864704,positive,Anger,Election
1st time for everything right?! Do you wanna eat rotten eggs or dog 💩 #election2016 #melfie… https://t.co/hMDHtQ6T7p,11/9/2016 13:06,26.3510051,-80.1893417,"Place(name='Boca Raton', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/d1cd39353c51904d.json', full_name='Boca Raton, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.2039913, 26.320692], [-80.065981, 26.320692], [-80.065981, 26.427259], [-80.2039913, 26.427259]]], type='Polygon'), contained_within=[], id='d1cd39353c51904d')","{'coordinates': [-80.1893417, 26.3510051], 'type': 'Point'}",florida,0.474579401,negative,Anger,Election
2pennies Both Heads&amp;a republican pamplet on the wet concrete with dirt on trumps cheeks #Election2016 #voteclinton,11/9/2016 11:16,37.279404,-80.067014,"Place(name='Salem', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/73c702136798426b.json', full_name='Salem, VA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.1206921, 37.252554], [-80.013519, 37.252554], [-80.013519, 37.3243357], [-80.1206921, 37.3243357]]], type='Polygon'), contained_within=[], id='73c702136798426b')","{'coordinates': [-80.067014, 37.279404], 'type': 'Point'}","Salem, VA",0.493047125,negative,Anger,Trump
